Kalimat;Kelompok
Cepat selesaikan tugas rumah ini.;perintah
Cepat catat nomor teleponnya.;perintah
Tolong bawa buku ini ke perpustakaan.;perintah
Bawa kucing ke dokter hewan.;perintah
Saya baru saja bertemu dengan teman lama.;pernyataan
Simpan file ini di folder yang benar.;perintah
Saya suka mendengarkan podcast motivasi.;pernyataan
Segera bersihkan meja kerja.;perintah
Di mana kita bisa parkir mobil?;pertanyaan
Dia sangat suka menonton drama.;pernyataan
Bawa peralatan ini ke kantor.;perintah
Pelaut mengemudikan kapal melintasi lautan luas menuju pelabuhan tujuan mereka.;pernyataan
Tolong nyalakan kipas angin.;perintah
Jangan tinggalkan pintu terbuka.;perintah
Jangan tinggalkan anak-anak tanpa pengawasan.;perintah
Petugas kebersihan kota membersihkan sampah-sampah dari jalan-jalan di kota.;pernyataan
Di mana kamu menghabiskan akhir pekanmu?;pertanyaan
Kami akan mengadakan rapat minggu depan.;pernyataan
Kami akan pergi ke bioskop malam ini.;pernyataan
Jangan lupa membawa dokumen penting.;perintah
Dia sangat menyukai bunga mawar.;pernyataan
Di mana letak restoran itu?;pertanyaan
Di sudut jalan, seekor kucing berlari cepat.;pernyataan
Dia tidak bisa datang ke pesta.;pernyataan
Mengapa kamu memilih tinggal di sini?;pertanyaan
Dia adalah teman baik saya.;pernyataan
Hari ini sangat dingin di luar.;pernyataan
Saya baru saja pulang dari kantor.;pernyataan
Dia sangat ramah kepada pelanggan.;pernyataan
Tolong catat perubahan ini.;perintah
Suara gemerincing air terjun yang jatuh ke kolam di bawahnya, seseorang merasakan kesegaran air yang dingin di wajah mereka.;pernyataan
Kami sering bermain tenis di sore hari.;pernyataan
Apakah kamu sudah membayar tagihan listrik?;pertanyaan
Bawa laptop ini ke ruang rapat.;perintah
Hari ini sangat panas di luar.;pernyataan
Kami berencana untuk membeli mobil baru.;pernyataan
Jangan makan di ruang kelas.;perintah
Jangan merokok di area ini.;perintah
Jangan lupa untuk mengunci pintu.;perintah
Seorang juru kunci membuka pintu rumah dengan hati-hati, memberikan akses kepada penghuni yang pulang dari perjalanan mereka.;pernyataan
Saya sangat menikmati liburan ini.;pernyataan
Bawa komputer ini ke ruang rapat.;perintah
Dia sangat suka bermain piano.;pernyataan
Ambilkan pensil dari meja.;perintah
Di mana letak buku itu?;pertanyaan
Jangan lupa bawa paspor.;perintah
Di mana kamu membeli bahan-bahan masakan?;pertanyaan
Siapa yang bisa menggantikan saya?;pertanyaan
Segera buat janji dengan dokter.;perintah
Bagaimana kamu bisa memperbaiki komputer itu?;pertanyaan
Seseorang menatap langit malam, memperhatikan gerak-gerik bintang di langit.;pernyataan
Jangan main api.;perintah
Siapa yang akan bertanggung jawab atas tim ini?;pertanyaan
Kami akan bertemu di restoran.;pernyataan
Penjaga keamanan menjaga pintu gerbang perumahan dari orang asing.;pernyataan
Jangan bermain game saat belajar.;perintah
Saya tidak suka makanan manis.;pernyataan
Apakah kamu sudah mengerjakan tugasnya?;pertanyaan
Siapa yang bertanggung jawab atas proyek ini?;pertanyaan
Dia sangat menikmati hobinya.;pernyataan
Apakah kamu sudah membaca buku itu?;pertanyaan
Tutup jendela itu sekarang.;perintah
Mengapa kamu tidak memberi tahu saya lebih awal?;pertanyaan
Pengacara membela kliennya di ruang sidang, menggunakan bukti dan argumen yang kuat untuk mencapai keadilan.;pernyataan
Segera hubungi tim teknis.;perintah
Kami sering makan malam di restoran.;pernyataan
Tutup jendela saat hujan.;perintah
Di mana kita bisa membeli tiket konser?;pertanyaan
Hujan lebat turun dari langit, membasahi tanah kering dan menghidupkan kembali kehidupan di bumi.;pernyataan
Kirim email ini secepatnya.;perintah
Seorang pemandu wisata membawa rombongan wisatawan melalui jalanan bersejarah kota, menceritakan kisah-kisah menarik dari masa lalu.;pernyataan
Mengapa kamu tidak hadir di kelas kemarin?;pertanyaan
Bagaimana cara menggunakan aplikasi ini?;pertanyaan
Di kandang, seseorang merawat hewan ternak dengan penuh kasih sayang.;pernyataan
Apakah kamu sudah mencuci tangan?;pertanyaan
Bagaimana kita bisa mendapatkan sponsor?;pertanyaan
Mengapa kamu tidak ikut dengan kami?;pertanyaan
Kami akan pergi ke taman bermain besok.;pernyataan
Siapa yang mengatur acara tersebut?;pertanyaan
Seorang ilmuwan politik menganalisis proses politik dan kebijakan publik di berbagai negara.;pernyataan
Dia sangat menikmati perjalanannya.;pernyataan
Bagaimana cara memasak nasi goreng?;pertanyaan
Bagaimana cara menambah anggota tim?;pertanyaan
Jangan lupa kunci pintunya.;perintah
Bagaimana cara menyusun laporan ini?;pertanyaan
Matikan komputer setelah selesai bekerja.;perintah
Dia sedang bekerja di proyek penting.;pernyataan
Saya suka menghabiskan waktu di taman.;pernyataan
Tolong simpan uang ini.;perintah
Psikolog membantu pasien-pasien mereka mengatasi masalah-masalah psikologis yang mereka hadapi.;pernyataan
Kami akan mengadakan pesta akhir pekan ini.;pernyataan
Saya tidak suka hujan.;pernyataan
Saya senang mendengar berita itu.;pernyataan
Di mana kita akan bertemu besok?;pertanyaan
Penata rambut membuat gaya rambut yang trendi untuk pelanggan mereka.;pernyataan
Ambilkan segelas air untuk saya.;perintah
Kami sering berjalan-jalan di pagi hari.;pernyataan
Bagaimana kamu menemukan pekerjaan ini?;pertanyaan
Tolong cetak dokumen segera.;perintah
Jangan merokok di sini.;perintah
Dia sangat pandai dalam olahraga.;pernyataan
Kami sudah memesan tiket kereta.;pernyataan
Segera hubungi pihak keamanan.;perintah
Cepat selesaikan pekerjaan rumahmu.;perintah
Cepat selesaikan pekerjaanmu.;perintah
Cepat simpan data ini di server.;perintah
Saya sudah menyelesaikan tugas sekolah.;pernyataan
Saya sudah mengirim laporan mingguan.;pernyataan
Kami akan pergi ke taman besok.;pernyataan
Bagaimana kamu bisa mendapatkan hasil bagus?;pertanyaan
Kami akan pergi berbelanja nanti.;pernyataan
Tolong buat salinan dokumen ini.;perintah
Bagaimana saya bisa memperbaiki komputer ini?;pertanyaan
Pemain musik mengisi ruangan dengan melodi yang merdu dari alat musiknya, menyentuh hati pendengarnya dengan keindahan suaranya.;pernyataan
Seorang pemadam kebakaran menanggapi panggilan darurat untuk memadamkan kebakaran.;pernyataan
Di mana kita bisa menemukan alat ini?;pertanyaan
Tolong nyalakan lampu ini.;perintah
Kami akan pergi ke museum besok.;pernyataan
Cepat selesaikan presentasimu.;perintah
Tolong buatkan teh untuk saya.;perintah
Berikan presentasimu besok pagi.;perintah
Di pasar, seseorang berbelanja buah-buahan segar untuk persediaan mingguan.;pernyataan
Tolong atur kursi di ruang rapat.;perintah
Cepat kembalikan buku itu ke perpustakaan.;perintah
Saya sudah menulis surat lamaran.;pernyataan
Mengapa kamu tidak menjawab telepon saya?;pertanyaan
Seorang perajin perak membuat perhiasan-perhiasan yang indah dari perak di bengkel mereka.;pernyataan
Dia sedang bekerja di proyek baru.;pernyataan
Dia selalu datang tepat waktu.;pernyataan
Mengapa kamu begitu sedih?;pertanyaan
Mengapa kamu tidak mengangkat telepon?;pertanyaan
Bawa laptop ini ke ruang rapat.;perintah
Tolong nyalakan AC.;perintah
Jangan main game saat belajar.;perintah
Di hutan, seseorang menyaksikan rusa jantan menghampiri betinanya dengan lembut di antara pepohonan yang rimbun.;pernyataan
Tolong nyalakan televisi itu.;perintah
Cepat simpan datanya.;perintah
Jangan main bola di dalam rumah.;perintah
Apakah kamu sudah menghubungi klien tersebut?;pertanyaan
Segera perbaiki kursi yang rusak.;perintah
Jangan membuang sampah sembarangan.;perintah
Ahli antropologi mempelajari budaya-budaya manusia di berbagai belahan dunia.;pernyataan
Ambilkan jaket di lemari.;perintah
Ambil kursi tambahan dari ruangan sebelah.;perintah
Di mana kamu membeli furnitur itu?;pertanyaan
Peternak menggembala domba-dombanya di padang rumput yang luas.;pernyataan
Di perbukitan, seseorang merasakan angin sepoi-sepoi yang menyegarkan saat mereka mendaki ke puncak.;pernyataan
Cepat selesaikan proyek ini.;perintah
Segera kirim email undangan.;perintah
Pejabat pemerintah membuat kebijakan-kebijakan yang penting untuk masyarakat.;pernyataan
Suara gemerincing air terdengar dari pancuran, seseorang menikmati mandi air panas yang menyegarkan.;pernyataan
Tolong beri makan kucingnya.;perintah
Segera tutup buku itu.;perintah
Cepat tulis namamu di sini.;perintah
Kapan waktu terbaik untuk menanam bunga?;pertanyaan
Suara gemerincing daun di pepohonan bergerak dengan angin, seseorang merasakan kedamaian di bawah sinar matahari yang hangat.;pernyataan
Bagaimana kita bisa memecahkan masalah ini?;pertanyaan
Kami selalu berjalan-jalan di sore hari.;pernyataan
Di mana kamu belajar memasak?;pertanyaan
Di mana kamu membeli perlengkapan ini?;pertanyaan
Segera kirim paket ini ke alamat tersebut.;perintah
Berikan laporan tersebut kepada manajer.;perintah
Segera periksa kondisi mesin.;perintah
Di mana kamu melihat kejadian itu?;pertanyaan
Jangan lupa membawa laptop.;perintah
Di mana kamu bersekolah dulu?;pertanyaan
Di taman bermain air, seseorang merasakan kegembiraan saat mereka bermain-main dengan air bersama teman-teman mereka.;pernyataan
Kami berencana untuk pindah rumah.;pernyataan
Cepat selesaikan laporan itu.;perintah
Dia sangat baik hati.;pernyataan
Jangan lupa membawa kartu identitas.;perintah
Penjahit menjahitkan pakaian dengan teliti di butiknya.;pernyataan
Siapa yang akan mengurus anak-anak?;pertanyaan
Dia sedang menunggu di luar.;pernyataan
Di mana kita bisa menemukan informasi ini?;pertanyaan
Segera buat daftar belanjaan.;perintah
Tolong buat salinan dokumen.;perintah
Tutup pintu dengan pelan.;perintah
Kami selalu berolahraga setiap pagi.;pernyataan
Di mana kita bisa menemukan buku panduan?;pertanyaan
Bagaimana caramu belajar untuk ujian?;pertanyaan
Kapan acara ini dimulai?;pertanyaan
Baca instruksi ini dengan seksama.;perintah
Pemandu wisata memandu kelompok wisatawan melalui tempat-tempat bersejarah, menceritakan kisah-kisah menarik dari masa lalu.;pernyataan
Guru yoga mengajar teknik-teknik pernapasan kepada murid-muridnya di kelas yoga.;pernyataan
Seorang anak muda belajar tentang dunia di sekitarnya melalui penjelajahan dan pengalaman.;pernyataan
Jangan bermain di jalan raya.;perintah
Pemrogram komputer menulis kode-kode untuk mengembangkan aplikasi dan perangkat lunak.;pernyataan
Bagaimana kamu bisa melewati tes itu?;pertanyaan
Bagaimana rencanamu untuk akhir pekan ini?;pertanyaan
Tolong buat janji temu dengan dokter.;perintah
Di mana kita bisa makan siang?;pertanyaan
Jangan lupa untuk menutup jendela.;perintah
Cepat bersihkan dapur.;perintah
Baca buku ini dengan cermat.;perintah
Bagaimana cara mengatasi masalah ini?;pertanyaan
Bawa anjing ini ke taman.;perintah
Siapa yang akan mengelola proyek ini?;pertanyaan
Cepat kirim email konfirmasi.;perintah
Saya sudah mengirim undangan untuk acara tersebut.;pernyataan
Jangan main bola di dalam ruangan.;perintah
Konservator museum merawat artefak-artefak dan karya seni di dalam museum mereka.;pernyataan
Tolong nyalakan mesin fotokopi.;perintah
Tolong buat salinan dokumen ini.;perintah
Bawa anjing itu ke dokter hewan.;perintah
Suara gemuruh petir menggema di kejauhan, seseorang merasakan ketegangan dan kegembiraan dalam hujan badai yang mendekat.;pernyataan
Cepat selesaikan tugasmu.;perintah
Seseorang memasak makanan lezat di dapur, menciptakan aroma yang menggugah selera dan mengundang keluarga untuk makan malam bersama.;pernyataan
Kapan kamu akan mengunjungi orang tua?;pertanyaan
Cepat selesaikan pekerjaan rumahmu.;perintah
Bagaimana kita bisa mendapatkan diskon?;pertanyaan
Apakah kamu pernah ke luar negeri?;pertanyaan
Segera tutup aplikasi itu.;perintah
Awan mendung menggantung di langit, menjanjikan hujan yang akan datang dan menyuburkan tanah.;pernyataan
Di mana kamu meletakkan kunci mobil?;pertanyaan
Mengapa kamu terlambat hari ini?;pertanyaan
Petani menggarap tanah mereka untuk menanam padi di sawah.;pernyataan
Segera kirim email ini.;perintah
Bisakah kamu menjelaskan konsep ini lebih lanjut?;pertanyaan
Di mana kita bisa membeli tiket konser?;pertanyaan
Segera bawa pasien ini ke rumah sakit.;perintah
Dia sangat pandai matematika.;pernyataan
Seseorang berjalan di sepanjang pantai, mengumpulkan kerang-kerang indah yang tersebar di pasir putih.;pernyataan
Pengrajin perhiasan membuat perhiasan yang cantik dari berbagai batu mulia.;pernyataan
Apakah kamu pernah ke Jepang?;pertanyaan
Di pantai, seseorang mengumpulkan batu-batu halus yang terbawa oleh ombak ke pantai, mencari batu yang indah sebagai kenang-kenangan.;pernyataan
Mengapa kita harus menunggu di sini?;pertanyaan
Jangan tinggalkan anak-anak sendirian.;perintah
Mengapa kamu tidak hadir kemarin?;pertanyaan
Siapa yang akan membantu kita besok pagi?;pertanyaan
Jangan lupa untuk membawa kunci.;perintah
Hidupkan televisi itu, tolong.;perintah
Dia sangat berbakat dalam menyanyi.;pernyataan
Bagaimana kamu bisa mendapatkan hasil itu?;pertanyaan
Tolong buatkan janji temu.;perintah
Kapan kamu akan pergi ke kantor?;pertanyaan
Seseorang menatap layar komputer dengan serius, menyelesaikan tugas-tugas administratif.;pernyataan
Pegawai bank melayani nasabah yang datang ke kantor cabang bank.;pernyataan
Di mana kamu membeli tanaman itu?;pertanyaan
Saya akan mengirim email itu segera.;pernyataan
Mengapa internet sangat lambat hari ini?;pertanyaan
Dia sedang menunggu di luar kelas.;pernyataan
Dia sangat suka menonton film horor.;pernyataan
Bagaimana kita bisa mengurangi biaya?;pertanyaan
Tolong beri makan kucing itu.;perintah
Apakah kamu sudah mengecek email?;pertanyaan
Mengapa harga barang ini turun?;pertanyaan
Dia adalah seorang penyanyi terkenal.;pernyataan
Bagaimana cara merawat tanaman ini?;pertanyaan
Saya sangat suka makan di restoran ini.;pernyataan
Pandai besi membentuk besi-besi panas menjadi perkakas yang berguna.;pernyataan
Jangan berlari di dalam rumah.;perintah
Apakah kamu pernah melihat film itu?;pertanyaan
Bagaimana cara menggunakan mesin kopi ini?;pertanyaan
Ilmuwan mengamati pola bintik-bintik matahari dengan teleskop, mencoba memahami rahasia alam semesta.;pernyataan
Kami akan mengadakan acara amal.;pernyataan
Ambilkan saya pena.;perintah
Saya suka membaca buku di waktu luang.;pernyataan
Tolong buatkan kopi untuk saya.;perintah
Kami sering makan malam di luar bersama keluarga.;pernyataan
Tutup pintu dengan hati-hati.;perintah
Saya tidak suka makanan pedas.;pernyataan
Bagaimana cara menggunakan mesin ini?;pertanyaan
Cepat selesaikan tugas ini.;perintah
Siapa yang akan mengurus dokumen ini?;pertanyaan
Jangan lupa membawa makanan.;perintah
Jangan lupa untuk membayar tagihan.;perintah
Kupu-kupu berterbangan di sekitar bunga-bunga yang berwarna-warni.;pernyataan
Di lapangan, seseorang berlatih pukulan backhand dalam permainan tenis.;pernyataan
Dia sangat ramah kepada semua orang.;pernyataan
Kami akan pindah ke rumah baru.;pernyataan
Tolong tulis alamatnya di sini.;perintah
Pekerja konstruksi membangun gedung pencakar langit yang megah.;pernyataan
Penyair menulis puisi-puisi yang puitis tentang alam dan kehidupan.;pernyataan
Kapan kamu berencana untuk berlibur?;pertanyaan
Jangan bermain di sekitar sini.;perintah
Di kejauhan, seseorang memancing di tepi danau yang tenang.;pernyataan
Jangan bermain di dekat jalan.;perintah
Apakah kamu memiliki saudara kandung?;pertanyaan
Jangan berbicara saat guru menjelaskan.;perintah
Kapan kamu akan memperbarui aplikasi?;pertanyaan
Siapa yang menulis artikel itu?;pertanyaan
Bagaimana cara menghubungi layanan pelanggan?;pertanyaan
Kami selalu berolahraga bersama setiap pagi.;pernyataan
Apakah kamu sudah mengerjakan PR?;pertanyaan
Saya sudah mengirim surat itu kemarin.;pernyataan
Kami sering bermain bulu tangkis.;pernyataan
Petugas kebersihan mencuci dan menyetrika pakaian-pakaian di laundry.;pernyataan
Bisakah kamu membantu saya dengan tugas ini?;pertanyaan
Kapan kamu akan menikah?;pertanyaan
Kapan kita akan melakukan presentasi?;pertanyaan
Seorang penerjemah menerjemahkan dokumen-dokumen dari satu bahasa ke bahasa lainnya.;pernyataan
Mengapa kita harus pergi sekarang?;pertanyaan
Jangan duduk di meja itu.;perintah
Di taman bunga, seseorang mengagumi keindahan bunga-bunga yang beraneka warna dan aroma.;pernyataan
Kapan kita bisa pergi berbelanja?;pertanyaan
Cepat selesaikan tugas ini sebelum makan siang.;perintah
Apakah kamu pernah mencoba makanan ini?;pertanyaan
Kapan kamu akan menyelesaikan proyek itu?;pertanyaan
Jangan tinggalkan pekerjaan setengah-setengah.;perintah
Seorang penyair duduk di bawah pohon, mencatat inspirasi dari alam di sekitarnya.;pernyataan
Siapa yang mengambil buku saya?;pertanyaan
Gema suara riuh rendah dari pasar malam memenuhi udara malam, dengan lampu-lampu berwarna-warni yang menerangi jalanan.;pernyataan
Di perpustakaan, seseorang menyelam dalam dunia fantasi dan petualangan melalui buku-buku fiksi yang menarik.;pernyataan
Dia sangat suka membaca novel.;pernyataan
Suhu udara yang sejuk memeluk pegunungan, memberikan kesegaran bagi mereka yang berpetualang di alam liar.;pernyataan
Di bawah air terjun, seseorang merasakan tetes-tetes air yang menyegarkan di wajah mereka, menyatukan diri dengan alam di sekitarnya.;pernyataan
Pejabat pajak memeriksa laporan pajak yang diajukan oleh wajib pajak.;pernyataan
Bagaimana cara menyalakan televisi ini?;pertanyaan
Siapa yang akan datang ke pesta ulang tahun?;pertanyaan
Segera hubungi layanan pelanggan.;perintah
Saya suka membaca buku di waktu luang.;pernyataan
Suara riuh rendah dari kafe, seseorang menikmati secangkir kopi hangat.;pernyataan
Kapan terakhir kali kamu menelepon dia?;pertanyaan
Dia sangat suka menulis puisi.;pernyataan
Koki memasak hidangan lezat di dapur restoran mewah.;pernyataan
Dia bekerja di perusahaan multinasional.;pernyataan
Jangan lupa membayar tagihan listrik.;perintah
Kapan kamu akan memulai pekerjaan baru?;pertanyaan
Arsitek merancang bangunan megah yang akan menjadi ikon kota.;pernyataan
Tolong buatkan teh untuk tamu.;perintah
Jangan bermain di jalan.;perintah
Bawa anjing ke dokter hewan.;perintah
Seniman melukis pemandangan indah di atas kanvas besar.;pernyataan
Suara riuh rendah pasar menciptakan suasana yang hidup di kota.;pernyataan
Bawa barang ini ke gudang.;perintah
Guru membimbing murid-muridnya dalam belajar, membantu mereka mengembangkan potensi mereka secara penuh.;pernyataan
Di mana kamu membeli sepatu baru itu?;pertanyaan
Kami sering mengunjungi tempat wisata.;pernyataan
Seorang ahli botani mengidentifikasi dan mengklasifikasikan spesies-spesies tumbuhan di alam.;pernyataan
Kapan kita bisa bertemu untuk diskusi?;pertanyaan
Apakah kamu bisa membantu saya?;pertanyaan
Saya sudah menyiapkan semua bahan masakan.;pernyataan
Tutup pintu itu setelah keluar.;perintah
Petugas pemadam kebakaran memadamkan api yang membara di gedung pencakar langit.;pernyataan
Saya baru saja bertemu dengan tetangga baru.;pernyataan
Bawa anjingmu berjalan-jalan.;perintah
Jangan lupa membawa surat.;perintah
Mengapa harga barang ini naik?;pertanyaan
Siapa yang bertanggung jawab atas departemen ini?;pertanyaan
Tolong bawa barang ini ke gudang.;perintah
Tolong ambilkan saya buku itu.;perintah
Cepat catat nomor telepon ini.;perintah
Siapa yang akan mengurus administrasi?;pertanyaan
Kami sering berolahraga di gym bersama.;pernyataan
Di hutan belantara, sebuah sungai mengalir deras di antara pepohonan hijau yang rimbun.;pernyataan
Bawa kucing ke klinik hewan.;perintah
Kapan kamu akan mengambil cuti?;pertanyaan
Kapan kita akan pergi ke pantai?;pertanyaan
Mengapa kamu tidak memberitahu saya?;pertanyaan
Di mana kamu membeli buku itu?;pertanyaan
Tolong cetak dokumen ini.;perintah
Tolong ambilkan segelas air.;perintah
Kami berencana untuk renovasi rumah.;pernyataan
Kapan kamu akan pulang?;pertanyaan
Mengapa cuaca sangat panas hari ini?;pertanyaan
Cepat bersihkan kamar ini.;perintah
Warna-warni bunga-bunga mekar di taman, menarik kupu-kupu dan serangga untuk bermain di antara kelopak-kelopaknya.;pernyataan
Tolong nyalakan mesin kopi.;perintah
Mengapa kamu tidak menyukai makanan itu?;pertanyaan
Tolong periksa tugas ini.;perintah
Mengapa kita harus pergi sekarang?;pertanyaan
Bunga-bunga mekar di kebun, memancarkan aroma yang menyegarkan.;pernyataan
Saya baru saja menyelesaikan pekerjaan rumah.;pernyataan
Siapa yang merancang website ini?;pertanyaan
Ahli ekonomi membuat model ekonomi untuk memprediksi tren-tren ekonomi di masa depan.;pernyataan
Saya sudah membaca buku itu.;pernyataan
Siapa yang akan mengurus pembayaran?;pertanyaan
Nelayan mengayuh perahunya menuju ke tengah laut, mencari rezeki di samudra yang luas.;pernyataan
Berikan presentasi ini kepada tim.;perintah
Di pantai, seseorang membangun istana pasir dengan hati-hati, menciptakan karya seni sementara air laut bermain-main di tepinya.;pernyataan
Siapa yang akan datang ke pesta?;pertanyaan
Di mana kamu menyimpan dokumen itu?;pertanyaan
Mengapa kamu tidak datang ke pertemuan kemarin?;pertanyaan
Ambilkan piring dari dapur.;perintah
Jangan lupa untuk menutup pintu.;perintah
Tutup pintu dengan perlahan.;perintah
Di mana saya bisa memesan tiket konser?;pertanyaan
Bawa surat ini ke kantor pos.;perintah
Dia sangat pandai dalam bahasa Inggris.;pernyataan
Seorang penulis lepas menulis artikel-artikel untuk majalah-majalah dan surat kabar.;pernyataan
Kami sudah memesan meja di restoran.;pernyataan
Segera tutup pintu setelah masuk.;perintah
Siapa yang akan menjemput kita di bandara?;pertanyaan
Kapan kita akan melakukan evaluasi?;pertanyaan
Bagaimana cara memperbaiki kesalahan ini?;pertanyaan
Bagaimana cara menyalakan komputer ini?;pertanyaan
Bagaimana cara memperbaiki laptop ini?;pertanyaan
Jangan tinggalkan anak-anak sendiri.;perintah
Pengemudi bus mengemudikan kendaraannya dengan hati-hati di jalan raya.;pernyataan
Mengapa harga bahan bakar naik?;pertanyaan
Jangan ganggu saya saat bekerja.;perintah
Cepat cetak dokumen ini.;perintah
Apakah kamu sudah mengunduh aplikasi ini?;pertanyaan
Di ladang, seseorang bekerja keras untuk memanen hasil pertanian yang melimpah.;pernyataan
Seseorang duduk di tepi kolam renang, menikmati matahari terbenam yang merah muda memantulkan warna-warni di permukaan air.;pernyataan
Siapa yang menelpon tadi malam?;pertanyaan
Saya sudah menulis artikel untuk majalah.;pernyataan
Seorang pekerja konstruksi membangun rumah-rumah dan bangunan-bangunan untuk klien-klien mereka.;pernyataan
Cepat simpan data di cloud.;perintah
Suasana tenang di taman, seseorang membaca buku di bawah pohon rindang.;pernyataan
Di rumah, seseorang menikmati waktu bersama keluarga di ruang keluarga yang nyaman dan hangat.;pernyataan
Seseorang menyusuri lorong-lorong kota tua, menemukan sejarah dan keunikan di setiap sudutnya.;pernyataan
Tolong buatkan daftar belanja.;perintah
Di mana kamu menyimpan kunci?;pertanyaan
Tolong atur jadwal pertemuan.;perintah
Beli beberapa perlengkapan kantor.;perintah
Tolong bawa tas saya.;perintah
Siapa yang akan mengurus registrasi?;pertanyaan
Di mana kamu belajar berenang?;pertanyaan
Tolong cetak file ini sekarang.;perintah
Kami akan pergi ke konser besok malam.;pernyataan
Penulis menulis cerita-cerita fantasi yang menarik bagi pembaca.;pernyataan
Kami akan mengadakan piknik di taman.;pernyataan
Apakah kamu sudah mengirim undangan?;pertanyaan
Dia sedang belajar untuk ujian akhir.;pernyataan
Seseorang menyusuri jalan berliku di pegunungan, menikmati keindahan alam yang megah.;pernyataan
Mengapa kamu meninggalkan pekerjaan itu?;pertanyaan
Saya senang dengan hasil ujiannya.;pernyataan
Suara gemerincing daun-daun berguguran dari pohon, seseorang berjalan-jalan di taman pada musim gugur yang indah.;pernyataan
Kami sering makan malam di luar.;pernyataan
Tolong cetak dokumen ini segera.;perintah
Saya suka mendengarkan musik klasik.;pernyataan
Saya sudah menonton film itu.;pernyataan
Bagaimana kamu bertemu dengan dia?;pertanyaan
Tolong bawa tas ini ke mobil.;perintah
Dia bekerja di perusahaan teknologi.;pernyataan
Kapan kamu terakhir kali berlibur?;pertanyaan
Di mana kamu akan merayakan ulang tahunmu?;pertanyaan
Saya baru saja menyelesaikan proyek itu.;pernyataan
Mengapa kamu begitu diam hari ini?;pertanyaan
Di mana kita bisa makan malam nanti?;pertanyaan
Dia sedang belajar untuk ujian.;pernyataan
Petugas medis merawat pasien yang sakit di rumah sakit, memberikan perawatan yang lembut dan penuh kasih.;pernyataan
Jangan berteriak di dalam gedung.;perintah
Kami sering bertemu di kafe untuk berdiskusi.;pernyataan
Segera buat rencana cadangan.;perintah
Jangan membuang waktu di sini.;perintah
Polisi mengatur lalu lintas di persimpangan jalan yang sibuk.;pernyataan
Bagaimana cara memperbaiki keran bocor?;pertanyaan
Apakah kamu sudah selesai dengan laporan itu?;pertanyaan
Kapan kamu akan pulang dari liburan?;pertanyaan
Kapan kamu akan memberikan presentasi?;pertanyaan
Kapan kita akan pergi ke pasar?;pertanyaan
Di mana kamu tinggal?;pertanyaan
Jangan lupa untuk membawa kartu identitas.;perintah
Segera bersihkan kamar ini.;perintah
Jangan lupa untuk membawa buku ini.;perintah
Siapa yang akan menjadi pembicara?;pertanyaan
Siapa yang memesan makanan?;pertanyaan
Cepat selesaikan pekerjaanmu.;perintah
Seorang pembaca buku duduk di kursi empuk, tenggelam dalam cerita yang menarik dari halaman demi halaman.;pernyataan
Sutradara film menyutradarai adegan-adegan dalam produksi film mereka.;pernyataan
Seorang insinyur sipil merancang jembatan-jembatan dan jalan-jalan di kota mereka.;pernyataan
Siapa yang akan memasak makan malam?;pertanyaan
Pembuat perhiasan mengukir berlian dengan hati-hati, menciptakan perhiasan yang mewah dan berkilauan.;pernyataan
Jangan ganggu saya saat bekerja.;perintah
Tolong matikan AC sebelum keluar.;perintah
Tolong matikan lampu sebelum kamu pergi.;perintah
Bawa kendaraan ini ke bengkel.;perintah
Di mana kamu bekerja sekarang?;pertanyaan
Tolong buatkan saya teh hangat.;perintah
Bintang-bintang berkelap-kelip di langit malam, memberikan kilauan yang indah di malam yang gelap.;pernyataan
Segera tutup aplikasi itu.;perintah
Kami selalu makan siang bersama di kantor.;pernyataan
Cepat selesaikan tugas sekolah.;perintah
Dokter memberikan perawatan yang baik kepada pasien-pasiennya di rumah sakit.;pernyataan
Seorang atlet berlatih keras di lapangan, mempersiapkan diri untuk kompetisi yang akan datang dengan dedikasi yang tinggi.;pernyataan
Saya suka mendengarkan musik jazz.;pernyataan
Kapan kamu akan mengirim laporan itu?;pertanyaan
Kami akan mengadakan pertemuan penting besok.;pernyataan
Kapan terakhir kali kamu berolahraga?;pertanyaan
Kami sering berjalan-jalan di taman.;pernyataan
Fotografer pernikahan mengabadikan momen-momen spesial di hari pernikahan pasangan.;pernyataan
Tolong matikan lampu di kamar.;perintah
Kapan kita akan bertemu untuk rapat?;pertanyaan
Apakah kamu suka dengan hasilnya?;pertanyaan
Siapa yang bisa membantu kita dengan proyek ini?;pertanyaan
Juragan tambak membudidayakan ikan-ikan di tambak-tambak mereka di pinggir pantai.;pernyataan
Kami sering pergi bersepeda di pagi hari.;pernyataan
Bawa sepeda ini ke bengkel.;perintah
Kapan ulang tahunmu?;pertanyaan
Di mana kamu membeli bunga itu?;pertanyaan
Saya membeli ponsel baru kemarin.;pernyataan
Beberapa orang pengusaha berada di ruang rapat, merencanakan strategi bisnis untuk mengembangkan perusahaan ke tingkat yang lebih tinggi.;pernyataan
Cepat simpan barang-barang ini.;perintah
Burung-burung bernyanyi merdu di pepohonan di pagi hari.;pernyataan
Di lapangan, seseorang bermain sepak bola dengan teman-teman mereka, merasakan kegembiraan kompetisi dan persahabatan.;pernyataan
Kami akan mengadakan rapat besok pagi.;pernyataan
Siapa yang mengundangmu ke pesta itu?;pertanyaan
Mengapa dia sangat marah?;pertanyaan
Tolong simpan file ini di server.;perintah
